Spanish,English
de,from
que,that
no,no
a,to
la,the
el,the
y,and
es,it is
en,on
lo,it
un,a
por,by
qué,that
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,is
mi,me
pero,but
sí,Yes
si,Yes
bien,well
eso,that
su,its
las,the
yo,me
del,of the
como,What
aquí,here
tu,your
al,to the
más,plus
le,you
esto,this
todo,everything
ya,already
estoy,am
ahora,now
muy,very
ha,he has
esta,is
así,So
vamos,we go
algo,something
hay,there are
bueno,well
tengo,I have
él,he
cuando,when
estás,these
sé,he
tú,your
nos,us
nada,any
cómo,excuse me
este,this
o,or
he,He.
ser,be
tiene,have
puedo,Can I
ella,she
quiero,want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,was
soy,I am
sólo,single
todos,everybody
porque,because
son,are
tienes,you have
creo,I think
voy,go
sabes,you know
estaba,was
puede,may
eres,are
ese,that
usted,you
entonces,then
hola,hello
solo,only
verdad,truth
casa,home
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,this
nunca,never
dónde,where
va,he
oh,Oh
favor,favor
mucho,much
mí,my
quieres,want
siento,I feel
señor,Mister
mejor,better
hace,does
has,HAS.
decir,tell
también,too
sobre,upon
dios,God
sin,without
tenemos,have
están,is it so
ti,you
puedes,you can
ver,watch
hombre,man
vida,life
alguien,somebody
cosas,stuff
siempre,forever
hasta,until
ahí,there
ir,to go
años,years
antes,before
estar,to be
ni,neither
poco,little
día,day
uno,one
noche,evening
hecho,done
mis,MIS
estamos,we're
otra,other
acuerdo,agreement
trabajo,job
nosotros,us
parece,It seems
gente,people
sea,be
padre,dad
mira,sight
mismo,same
dijo,said
