Italian,English
e,And
non,Not
che,that
di,from
la,there
il,the
un,a
a,to
per,for
è,And
in,in
una,a
mi,me
sono,I'm
ho,I have
l',L'
si,Yes
ha,has
ma,but
lo,the
cosa,What
con,with
no,no
le,the
ti,you
se,self
da,from
i,the
come,like
io,I
ci,there
hai,you have
questo,this
bene,Well
qui,here
sei,six
del,of the
tu,you
solo,alone
mio,my
al,to the
me,myself
tutto,everything
c',there
te,you
era,was
della,of the
mia,my
fatto,done
fare,Do
essere,to be
so,so
quando,when
sì,Yes
ora,Now
lei,she
gli,the
ne,neither
oh,Oh
questa,this
detto,said
ok,ok
va,it goes
perche,because
quello,that
mai,never
alla,at the
o,or
anche,also
stato,state
abbiamo,we have
tutti,all
dei,of the
grazie,Thank you
chi,who
sta,is
molto,very
più,more
voglio,I want
perché,because
tuo,your
beh,well
sia,is
nel,In the
lui,he
allora,so
posso,I can
piu,more
ehi,Hey
prima,first
tua,your
suo,his
niente,nothing
qualcosa,something
sai,you know
siamo,are
un',a
cosi,as
davvero,really
ancora,still
hanno,they have
stai,you are
fa,does
sua,her
così,like this
casa,home
uno,one
dove,where is it
su,on
vero,real
vuoi,do you want
noi,we
due,two
quindi,so
dire,to say
d',d '
delle,from the
quella,that
sempre,always
altro,other
sto,I'm
andare,to go
ad,to
po,bit
loro,they
devo,I must
quel,that
forse,perhaps
li,there
proprio,own
certo,Certain
tempo,weather
nella,in
poi,then
vi,you
credo,I believe
vita,life
cose,what's this
sul,on the
quanto,how much
puoi,you can
fuori,out
anni,years
cui,which
andiamo,let's go
dell',dell
parte,part
visto,seen
qualcuno,someone
all',all
